Date,Close,High,Low,Open,Volume,returns,ma_50,ma_200,price_vs_ma200,price_vs_ma50,mom_1m,mom_2m,mom_accel,vol_20d,vol_60d_avg,vol_spike,VIX,vix_percentile,sentiment,vol_regime,raw_position,month,final_position,signal
2006-01-31,87.77583312988281,88.49180393097922,87.76894728015176,88.3403572558115,72937000,-0.007318178013886345,87.14559860229492,83.50608825683594,0.05113094101491872,0.007231971983623404,0.018452341064366218,0.016543258440170128,0.00190908262419609,0.11294776739707475,0.09507191333308083,1.1880245535962504,12.949999809265137,0.628968253968254,0.685515873015873,1.112723128787834,0.7872551335348954,1,0.9372551335348954,0.8019841269841269
2006-02-01,88.38851928710938,88.41605217409052,87.92726727091124,87.99610999309017,63561000,0.006980123518964154,87.20628067016601,83.55920974731445,0.05779505998679136,0.013556805861436299,0.031162022758930652,0.029188590290238903,0.0019734324686917493,0.09780851761677227,0.09421818117412911,1.0381066201650369,12.359999656677246,0.4781746031746032,0.7609126984126984,0.9637387942116624,0.9197381267321743,2,1.0697381267321742,0.9372551335348954
2006-02-02,87.36273193359375,88.21639308149085,87.29388922450498,88.18886019974497,83626900,-0.011605436563357219,87.23973648071289,83.60411193847656,0.0449573580529522,0.0014098558505853548,0.0015784462232311114,0.0069672822041688676,-0.005388835980937756,0.10570463737356613,0.09349513793634692,1.1305896724333584,13.229999542236328,0.6865079365079365,0.4567460317460317,1.04102324021684,0.4409411690602166,2,0.5909411690602165,1.0697381267321742
2006-02-03,86.92900085449219,88.38849024602276,86.83950587030053,87.14242005119738,86040400,-0.00496471515372543,87.25588928222656,83.65231269836426,0.03917032357423401,-0.003746319365069601,-0.008091475300916584,0.0007042897384221813,-0.008795765039338765,0.10702428659729576,0.09286560548134126,1.1524642093546602,12.960000038146973,0.628968253968254,0.48551587301587296,1.0533109487337642,0.479890054169816,2,0.629890054169816,0.5909411690602165
2006-02-06,87.15621185302734,87.29390254457695,86.86018343164922,87.04606455215048,45511900,0.0026137537105193065,87.26918914794922,83.69414482116699,0.04136570173765334,-0.0012945839880595595,-0.0061233907209267135,0.005459919967997662,-0.011583310688924375,0.10267331891977972,0.0921685960307845,1.1139729077080291,13.039999961853027,0.6369047619047619,0.381547619047619,1.010213110004901,0.345391439909297,2,0.495391439909297,0.629890054169816
2006-02-07,86.38516235351562,87.19751902559707,86.33008607857658,87.00475206331045,71208100,-0.008846753239022731,87.25707046508789,83.73361602783203,0.03166644952729924,-0.009992406425346623,-0.023045668723365553,-0.005321152627088543,-0.01772451609627701,0.10579941690958371,0.09159655966162623,1.1550588504680233,13.59000015258789,0.7579365079365079,0.321031746031746,1.040558162486777,0.3,2,0.44999999999999996,0.495391439909297
2006-02-08,87.16999053955078,88.18888072928335,86.4677810872364,86.63989052620478,59422200,0.009085219783733,87.2592790222168,83.77443046569825,0.04053217735980743,-0.0010232548752011495,-0.01669626047415962,0.009606845594338997,-0.026303106068498616,0.11182121881602336,0.09110785513365416,1.2273499211674224,12.829999923706055,0.5873015873015873,0.40634920634920635,1.099039721665992,0.3759052658100277,2,0.5259052658100277,0.44999999999999996
2006-02-09,87.02538299560547,87.84462001228111,86.99784486655639,87.37648232316886,62023300,-0.0016589143012434304,87.27092163085938,83.81835914611817,0.038261591877461906,-0.0028135217397209705,-0.019317818964409983,0.00857206469098415,-0.027889883655394132,0.11081214438418414,0.09065520158698592,1.2223473385347572,13.119999885559082,0.6428571428571429,0.37857142857142856,1.0884556848767741,0.3417959183673469,2,0.49179591836734693,0.5259052658100277
2006-02-10,87.18377685546875,87.52110996207354,86.36453405849265,87.03920552406669,64508700,0.001820088052600477,87.28764984130859,83.8615514755249,0.03961559643829676,-0.0011900078193041814,-0.020647696424707207,0.007767872182248059,-0.028415568606955266,0.11074610232702309,0.09019830285001983,1.2278069412366859,12.869999885559082,0.5853174603174603,0.40734126984126984,1.0871499806475635,0.37714628999748046,2,0.5271462899974805,0.49179591836734693
2006-02-13,87.02538299560547,87.28698734303015,86.70869713772157,87.15618254313728,52308700,-0.0018167813505700625,87.3105224609375,83.9088758468628,0.03714156717378059,-0.003265808716923067,-0.018556376910579653,0.004982803578772899,-0.02353918048935255,0.11080227663578991,0.08985242060716972,1.233158504657453,13.350000381469727,0.7142857142857143,0.34285714285714286,1.0869804725673813,0.3,2,0.44999999999999996,0.5271462899974805
2006-02-14,87.94791412353516,88.14067583466077,86.88771945998162,87.05982888096702,90964400,0.010600713219225621,87.33431549072266,83.95554943084717,0.04755331505484854,0.00702585953029744,-0.007227618436726813,0.00877526596117062,-0.016002884397897432,0.11771948394572869,0.08981201666404963,1.3107319968782083,12.25,0.4146825396825397,0.59265873015873,1.15372225163012,0.6365907344419247,2,0.7865907344419247,0.44999999999999996
2006-02-15,88.2577133178711,88.34033298721778,87.5968137390902,87.89972801566755,85471300,0.0035225303228998417,87.36211334228516,84.00156482696534,0.05066749053631311,0.01025158322437752,-0.0010128806571142457,0.008368732232995058,-0.009381612890109303,0.11753946179032952,0.090114503996261,1.3043345585656936,12.3100004196167,0.4365079365079365,0.7817460317460316,1.1505802595763805,0.9579491055681529,2,1.107949105568153,0.7865907344419247
2006-02-16,88.91860961914062,88.95303360267232,88.24393315703904,88.3540857024505,61017900,0.007488255433145241,87.40682693481445,84.05020526885987,0.05792257537870014,0.01729593370840041,0.010483600235273283,0.01886930347124416,-0.008385703235970876,0.11974364022724499,0.09045367832139503,1.3238117282724366,11.479999542236328,0.2123015873015873,0.8938492063492062,1.1701725097442306,1.1754826467624082,2,1.3254826467624081,1.107949105568153
2006-02-17,88.67767333984375,88.91863077717613,88.51933558359163,88.84290219727689,40342600,-0.002709627155989769,87.44343460083007,84.09458503723144,0.054499208249653965,0.014114710208351767,0.003897032658377375,0.019389444732890837,-0.015492412074513462,0.09857760324316973,0.09062802807858338,1.0877165191952902,12.010000228881836,0.3333333333333333,0.6333333333333333,0.9625977191525902,0.7008888888888889,2,0.8508888888888889,1.3254826467624081
2006-02-21,88.45738220214844,89.08385265549674,88.31968622980762,88.88421030316707,46456300,-0.0024841781408841968,87.4857716369629,84.1379990386963,0.051336889548152874,0.011105926678196387,0.02000529960355024,0.022115011813891083,-0.0021097122103408417,0.09893405395206172,0.09083041286033962,1.089217265853258,12.40999984741211,0.4801587301587302,0.6599206349206348,0.9651489312362315,0.7443485764676239,2,0.8943485764676239,0.8508888888888889
